Enzyme.type	a.terreus	h.jecorina	m.thermophila	n.crassa	p.chrysosporium	tot
Catalase	1	0	1	0	0	2
CBM_only	1	2	2	0	2	7
CDH	1	0	2	0	1	4
CDH_like	0	0	2	0	0	2
Esterase	0	0	1	0	1	2
Esterase_acetyl	5	1	8	0	3	17
Esterase_feruloyl	3	1	4	0	2	10
Esterase_methyl	0	1	1	0	2	4
Esterase_non_carbohydrate	3	1	3	0	5	12
Esterase_pectin	0	0	1	0	2	3
Expansin	0	2	0	0	0	2
GH_arabinan	6	1	12	1	3	23
GH_cellulose	12	8	11	4	8	43
GH_chitin	0	1	1	0	5	7
GH_mannan	3	2	6	1	5	17
GH_pectin	1	1	0	0	4	6
GH_unspecific	24	21	26	3	20	94
GH_xylan	9	3	17	3	9	41
GH_xyloglucan	1	1	1	0	2	5
Lactonase	1	0	1	0	0	2
Lipase	1	0	0	0	1	2
LPMO	5	2	12	5	10	34
Other	3	60	70	18	4	155
Oxidase	3	4	9	0	3	19
PDH	0	0	1	0	1	2
Peptidase	8	9	9	2	7	35
Peroxidase	0	0	1	0	6	7
PL_like	0	0	2	0	0	2
SOD	1	1	1	1	0	4
Uncharacterized	19	39	101	6	6	171
WSC	0	1	1	0	0	2
