Organism	Uniprot	Protein name	Secretion	CAZy	Enzyme type	Substrate details	H2O2 type	MEROPS	Bagasse1	Bagasse2	Bagasse3	Birch1	Birch2	Birch3	Spruce1	Spruce2	Spruce3	Cellulose1	Cellulose2	Cellulose3	Glucose1	Glucose2	Glucose3	Peptides	Unique peptides	Score	MS/MS count	Majority protein IDs	EC	GO
m.thermophila	G2QJW2	Uncharacterized protein	Y	AA12	PDH	cellulose;xylan	Producer		-1.47	-1.32														6	6	8.7663	16	tr|G2QJW2|G2QJW2_MYCTT		
p.chrysosporium	2762169982	Soluble quinoprotein glucose dehydrogenase	Y	AA12	PDH	cellulose;xylan	Producer		-1.54	-1.70	-0.89													6	6	28.506	49	2762169982		
p.chrysosporium	2762166069	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer		0.06	0.35	0.37	0.22	-0.57	-0.28		-0.98	-0.67							5	1	19.551	128	2762166069		response to oxidative stress;oxidation-reduction process
a.terreus	Q0CBM7	Probable feruloyl esterase A	Y						0.66	0.14	0.89		-0.72	-0.73	1.17	-0.29	-0.13	-2.02	-3.01					5	5	212.49	137	sp|Q0CBM7|FAEA_ASPTN	EC 3.1.1.73	lipid metabolic process [GO:0006629]; xylan catabolic process [GO:0045493]
p.chrysosporium	2762167606	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer											-3.81	-2.35					2	2	13.36	5	2762167606		response to oxidative stress;oxidation-reduction process
p.chrysosporium	2762168649	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer		5.96	5.89	6.65	5.70	5.20	3.96	0.48	1.49	2.45							8	8	262.17	1646	2762168649		response to oxidative stress;oxidation-reduction process
p.chrysosporium	2762170727	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer		4.23	3.90	3.81	4.11	3.40	2.53		0.42	-1.33							6	5	200.46	553	2762170727;2762170723		response to oxidative stress;oxidation-reduction process
p.chrysosporium	2762171888	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer		-2.68	-2.52	-2.25	-2.54	-2.21	-1.90		-2.21	-0.12							4	2	74.816	53	2762171888;2762171856		response to oxidative stress;oxidation-reduction process
p.chrysosporium	2762171893	Class II peroxidase	Y	AA2	Peroxidase	lignin	Consumer		4.50	3.77	4.06	4.22	3.33	2.19	-2.48	0.28	1.25							7	6	323.31	1102	2762171893		response to oxidative stress;oxidation-reduction process
m.thermophila	G2QBT1	Catalase-peroxidase	N	AA2;AA2	Peroxidase	lignin	Consumer		1.96	0.67	1.11	0.47	0.90	-0.36									-0.95	22	22	205.46	154	tr|G2QBT1|G2QBT1_MYCTT	EC 1.11.1.21	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
m.thermophila	G2QGP4	GMC oxidoreductase-like protein	Y	AA3	Oxidoreductase		Producer		2.26	2.30	1.37	1.49	1.04	1.28	-0.53	-0.19	-0.84	-1.96	-1.85	-3.16				13	13	323.31	163	tr|G2QGP4|G2QGP4_MYCTT		
m.thermophila	G2QFY4	Cellobiose dehydrogenase	Y	AA3_1	CDH	cellulose	Producer			2.79	2.04	0.34	-0.33	0.17				2.03	2.22	1.99				16	16	196.31	115	tr|G2QFY4|G2QFY4_MYCTT	EC 1.1.99.18	
a.terreus	Q0CI21	Probable feruloyl esterase B-2	Y						-2.32	-1.84	-1.88		-2.93	-2.66	-1.79	-1.93	-1.76							6	6	30.596	65	sp|Q0CI21|FAEB2_ASPTN	EC 3.1.1.73	xylan catabolic process [GO:0045493]
